,Unnamed: 0,Adjektiv,P(han),P(hun),Differanse
0,1088,salongfähig,0.812,0.041,0.771
1,0,a posteriori,0.744,0.044,0.701
2,821,meddelsom,0.725,0.031,0.694
3,345,fille,0.725,0.032,0.693
4,632,kafkask,0.735,0.052,0.683
5,1151,skipbrudden,0.762,0.087,0.675
6,487,godtroende,0.713,0.039,0.674
7,1299,tidlig,0.717,0.044,0.672
8,1036,rasjonal,0.728,0.061,0.667
9,323,fallitt,0.712,0.05,0.663
10,169,bibliofil,0.736,0.075,0.661
11,1014,puertorikansk,0.722,0.066,0.656
12,733,kumulativ,0.695,0.052,0.643
13,90,aprikos,0.687,0.045,0.642
14,1003,predikativ,0.683,0.052,0.631
15,134,barokk,0.69,0.059,0.63
16,884,nordenfjelsk,0.744,0.114,0.63
17,808,mange,0.702,0.072,0.629
18,877,nesegrus,0.65,0.026,0.624
19,108,aserbajdsjansk,0.682,0.058,0.624
20,569,i adams drakt,0.671,0.049,0.622
21,1210,sterk som en okse,0.699,0.077,0.622
22,521,hardnakka,0.665,0.043,0.621
23,721,kriminell,0.672,0.052,0.62
24,1278,tadsjikisk,0.708,0.091,0.617
25,302,entusiastisk,0.703,0.09,0.613
26,415,fremgangsrik,0.684,0.072,0.612
27,279,elektromekanisk,0.684,0.073,0.611
28,1531,vàr,0.685,0.079,0.606
29,1295,tentativ,0.671,0.067,0.604
30,82,anskuelig,0.731,0.129,0.603
31,506,guttegæren,0.704,0.104,0.601
32,1471,uvitende,0.656,0.056,0.6
33,643,keivhendt,0.67,0.071,0.599
34,890,normativ,0.672,0.074,0.597
35,692,komparabel,0.625,0.031,0.594
36,100,aristokratisk,0.667,0.073,0.594
37,1348,turkis,0.675,0.081,0.593
38,619,ivoriansk,0.652,0.059,0.593
39,722,kristadelfiansk,0.688,0.095,0.593
40,881,niten,0.665,0.075,0.59
41,58,alliert,0.621,0.032,0.59
42,446,førstvoterende,0.662,0.077,0.586
43,6,abkhasisk,0.674,0.089,0.585
44,154,beryktet,0.646,0.062,0.584
45,709,kontrær,0.641,0.058,0.582
46,691,kommunistisk,0.671,0.09,0.58
47,76,anglikansk,0.661,0.081,0.58
48,254,dystopisk,0.665,0.089,0.577
49,112,astrologisk,0.644,0.069,0.575
50,741,kvinnelig,0.072,0.487,-0.415
51,1012,prostituert,0.222,0.56,-0.338
52,443,følsom,0.128,0.451,-0.323
53,1473,vakker,0.184,0.458,-0.275
54,1401,ufødt,0.05,0.323,-0.273
55,42,aktsom,0.173,0.413,-0.239
56,988,plagsom,0.137,0.368,-0.231
57,1157,skjønn,0.171,0.374,-0.203
58,1167,skånsom,0.175,0.378,-0.203
59,1249,svak,0.219,0.417,-0.198
60,1537,ytre,0.228,0.418,-0.19
61,1429,ung,0.166,0.347,-0.181
62,1398,ufrivillig,0.139,0.314,-0.176
63,462,gift,0.199,0.374,-0.175
64,1472,uønsket,0.149,0.324,-0.174
65,1399,ufruktbar,0.111,0.277,-0.166
66,1276,søt,0.194,0.357,-0.163
67,657,kjempemorsom,0.198,0.361,-0.162
68,1233,stygg,0.114,0.27,-0.156
69,537,het,0.184,0.336,-0.152
70,1474,valgfri,0.218,0.367,-0.149
71,665,kjær,0.159,0.303,-0.144
72,903,nødvendig,0.219,0.363,-0.143
73,1111,selsom,0.193,0.333,-0.14
74,485,godslig,0.222,0.362,-0.14
75,666,kjærkommen,0.175,0.31,-0.135
76,419,fremoverlent,0.226,0.356,-0.13
77,827,merkelig,0.189,0.319,-0.129
78,1370,uavlatelig,0.206,0.336,-0.129
79,332,fattig,0.266,0.394,-0.128
80,667,kjærlig,0.281,0.409,-0.128
81,920,omsorgsfull,0.172,0.297,-0.125
82,730,kulturell,0.307,0.428,-0.121
83,300,ensom,0.144,0.263,-0.119
84,1499,vemodig,0.246,0.358,-0.113
85,825,melkefri,0.226,0.334,-0.108
86,1409,uhorvelig,0.313,0.421,-0.107
87,204,brysom,0.235,0.343,-0.107
88,930,oppmerksom,0.216,0.321,-0.104
89,678,klok,0.22,0.324,-0.104
90,1538,åpen,0.261,0.363,-0.102
91,334,fattigslig,0.313,0.41,-0.098
92,845,morsk,0.162,0.259,-0.097
93,549,hovmodig,0.292,0.389,-0.096
94,1250,svaksynt,0.362,0.45,-0.088
95,57,allergisk,0.273,0.361,-0.087
96,391,forplantningsmessig,0.08,0.167,-0.087
97,1115,selvstendig,0.074,0.157,-0.083
98,936,ordinær,0.214,0.295,-0.081
99,866,naken,0.172,0.252,-0.081
